Label,Text
PF_AG,"Zero news, Republic bhart, aaj tak you are fake media godi media #FarmersProstest #FarmersProstest #FarmerProtest #FarmersProtest2020 #FarmersDilliChalo #FarmersProtestDelhi #Farmerssupport #FarmersProtests https://t.co/mde7r6ksg4"
PF_AG,"Captain instead of targetting Kejriwal by using Technicalities of Delhi tidious gov structure, shud keep the focus on Centre gov &amp; do not derail/weaken #FarmersProtest
Capt by this is directly helping BJP to escape through !

P.S: Del gov has to notify Central/MHA Gov passed laws"
NEUTRAL,"Picture of the day

Whatever digital you create, the 'Roti' will not be downloaded from Google
#FarmersProtest https://t.co/xzkKxYxjQf"
PF_AG,"Now Its Not Just Farmers Protest #FarmersProtest 
#StandWithFarmerChallange https://t.co/dogUSH9cQF"
NEUTRAL,"Bilkis Bano, fondly known as the Shaheen Bagh 'Dadi', is on her way to Singhu Border to join #FarmersProtest
जो 80 साल की बूढ़ी दादी से डर जाए वह काहे का 56 इंची कायर है,
""Kisan bhai supported us when we were protesting, now it's our turn""

#DilliChalo https://t.co/EiAe5Y4Y68"
NEUTRAL,"After #HimanshiKhurana, #PrinceNarula shares #KanganaRanaut’s now-deleted tweet and slammed her for tweeting on Farmers protest!

#FarmerProtest | #Television | @princenarula88 

https://t.co/7crh8EHYva"
PF_AG,"The protests aren’t just about Punjab, they are for every hard working Farmer in India. Listen to the difficulties faced in Maharashtra. #FarmersDilliChalo #FarmersProtest https://t.co/TW8zzo9qOh"
PF_AG,#FarmersProtest #FarmersProtest2020  Only farmar new channel and reporter N D TV in India. https://t.co/QX17PE3ymd
NEUTRAL,"Bilkis Bano,  the Shaheen Bagh 'Dadi', is on her way to Singhu Border to join #FarmersProtest

""Kisan bhai supported us when we were protesting, now it's our turn""....👇 https://t.co/piAhSX2GqX"
PF_AG,"Do you still think that your political propaganda is more important?
My heart BLEEDS. HEAR THEM. 
They are fighting for their livelihood AGAINST ALL ODDS. Help them. RISE ABOVE YOUR DIFFERENCES. Raise your VOICE. YOU HAVE POWER. Be HUMAN.
#TakeBackFarmBills
#FarmersProtest https://t.co/ODwY2HHIA6"
PF_AG,"#FarmersProtest | Sr journalist Harish Damodaran says the agitating farmers are not fools, they know what they are talking about. Columnist @VikasSaraswat counters him. #Newstrack https://t.co/MR5CE2Ud2G"
PG_AF,"Should i laugh now ??

Ofcourse Yes...!

Badan pe mitti lga lene se koi Kisaan nahi ho Jata Saheb,,
Us Maati me Khun - Pasina ek karna padta h....@@

U don't have courage to speak, u only know to do Charity to clear ur dirty image which will remail dirty always

#FarmersProtest https://t.co/j1tnM015y5"
PF_AG,"Shaheen Bagh’s Bilkis Dadi Detained For Joining Farmers’ Protests..
Modi fears an old Woman!!!

#InquilabZindabad
#FarmersProtest
#ModiAgainstFarmers
 https://t.co/1rwvcEVcPN"
PF_AG,"Among 29 trends.. 7 are related to farmers👳. I don't think we need Godi Media. #Tractor2Twitter is showing it's effects 👍🤞👏
#HailHailFarmers
#FarmerProtest #MaiBhiFarmer https://t.co/e6viERd8wK"
NEUTRAL,"#FarmersProtest | Outraged, ex-sportstars announce ‘award wapsi’ 

https://t.co/PhC4uezZd9 via @TOICitiesNews https://t.co/S0WI4QLPY6"
PF_AG,"#FarmersProtest | “Why is BJP ignoring the nation?”: Mamata Banerjee, Chief Minister, West Bengal https://t.co/7cfCn2kOjU"
PF_AG,"#FarmersProtest | “We have to cooperate, erasing party lines”: Kamal Haasan, actor and politician https://t.co/5ogyQ2V7rr"
PF_AG,"Cant Indian Supreme Court see framers protest? 

Or they are like Kanoon Andha hota hai if you aren’t politician or rich or Arnab Goswami? 

Or SC Judges are like that? 

#FarmerProtest"
NEUTRAL,"That's @rawatnitin18 from Press Trust of India who has practically been camping at #Singhu border for the last 5 days since #FarmersProtest started. Spending at least 12 hours a day.
Unfortunately,in print media, agency reporters are unsung heroes. 
Here's an appreciation post👏 https://t.co/VQSWPg4PKF"
PF_AG,I will give 100 Rs Prize to the person who can show me a single tweet from @RubikaLiyaquat sympathizing with poor farmers in present ongoing #FarmersProtest
PF_AG,"🙏🏻Thank you @JustinTrudeau sir.
And then we have our PM who doesn’t care and is busy traveling😡
#JustinTrudeau #Respect #FarmerProtest #FarmersProtest2020 #IStandWithFarmers #KisanMajdoorEktaZindabad #standwithfarmerschallange #NoFarmersNoFood @indijaswal_ https://t.co/MZ3ezVjM58"
PF_AG,"Iconic Bilkis Dadi is detained at Singhu border for supporting #FarmersProtest 

She said:
- Kisan bhai supported us when we were protesting, now it’s our turn
- We are daughters of #Farmers &amp; govt must listen to demands

WHY this arrest?

#MaiBhiFarmer

https://t.co/jfkFyuqmNc"
NEUTRAL,"Poor Farmers like Ravan &amp; Pappu Yadav have reached #FarmerProtest site.
All Gareeb-Gurba including Bano &amp; Maino have Joined this 'Aandolan'. https://t.co/mrIhvblMbQ"
NEUTRAL,"JUST IN : Delhi Police detained Shaheen Bagh activist Bilkis Dadi who reached Singhu border (Delhi-Haryana border) to join farmers' protest.

Shame on @DelhiPolice
#FarmersProtest https://t.co/NydAIeqba2"
PF_AG,"""They can say I have not been hit but I am right here if they want to come and see my injuries"": Lathi-charged farmer

BJP IT Cell may try and discredit #FarmersProtest but India stands firmly with its farmers.  
https://t.co/0mRw4KSXqW"
PF_AG,"What a shame ! Isn't this a perfect example of #EnemiesWithin who join the narrative building process. People staying in India, trying to demean our motherland in the eyes of the world. How low can you go @pbhushan1 ! Its obvious that this is a larger conspiracy #farmersprotest https://t.co/naZN9ETsgR"
PF_AG,"👆....“Let me remind you, #Canada will always be there to defend the right of peaceful protest,”#JustinTrudeau reacts to #FarmersProtest

And our govt n their godi media feel that this is not an important matter. Their goals r to suppress n rule?
P 2/2
https://t.co/jhXm8rwaEO"
NEUTRAL,"Day 5 ends and farmers prepare to spend another night at the Delhi-Haryana Singhu Border. 

#FarmersProtest #FarmerFury https://t.co/gOfxX9KITz"
PF_AG,"""Farmers are the REAL HEROES"" -  @iamsrk

#FarmerProtest #ISTANDWITHFARMER
#FarmersBill_2020 https://t.co/4xhjnunKLR"
PF_AG,"82 year old #BilkisDadi of Shaheen Bagh fame came to the #FarmersProtest site to register her support to farmers but was detained at Singhu Border, meanwhile Anna Hazare is no where to be seen!  RSS agent Hazare, used to hold dharnas against the government during the UPA era. https://t.co/etGVrXnpc0"
PF_AG,"PM must listen to our farmers #TakeBackFarmBills. Let's remember ""No Farmers, No Food"". #IStandWithFarmers #istandwithindianfarmers #FarmersProtest #FarmersStruggle"
PF_AG,"Dear farmers !

DO NOT AGREE TO SET UP OTHER COMMITTEES WITH THE GOVERNMENT!! That’s a way of burying the issues !!! 

#FarmerProtest  #StandWithFarmers #FarmersBill"
PF_AG,"#FarmersBill #FarmerPolitics 
Canada PM Justine Tradeau Backed   
#FarmerProtest  But Being an Indian Akshay kumar not said a word...

*Meanwhile Akshay kumar rn-: https://t.co/0R80udWY4N"
PF_AG,"Speaking to BOOM, Sukhdev Singh, a farmer from Kapurthala said, ""They can say I have not been hit but I am right here if they want to come and see my injuries."" #FakeNews #FarmersProtest #ChaloDelhi 

https://t.co/StRoTxbFk4 https://t.co/eq3g2c0Qj3"
NEUTRAL,"Bilkis Dadi of Shaheen Bagh detained by Police on reaching Sindhu Border to join  #FarmersProtest. 
Coward Modi government much scared from Dadi, detention of Senior lady is very shameful act. https://t.co/rrU311yzI0"
PF_AG,"Huge fan of quirky meaningful posters at protests.
This one at #Singhu border during #FarmersProtest 
""Jitna bhi digital India banalo, Roti Google se download nahi hogi"" 🤘 https://t.co/QqAn5dr8Bv"
NEUTRAL,"Loving the vibe in this picture! 

Clicked at the #FarmersProtest today. https://t.co/9e5YuJ5gxt"
PF_AG,"He is a BJP MP from Haryana &amp; a Minister in Modi govt. Just look at his arrogance and complete lack of concern for the hands that feed us. 

""काले झंडे दिखाने थे तो कहीं और मर लेते""।
#FarmersProtest
https://t.co/ytEMjqWq5A"
PG_AF,"#FarmersProtest 
What is meaning of MINIMUM SUPPORT PRICE? 
If the open market rate is LESS than the minimum, who supports and pays the differential?"
NEUTRAL,"#FarmersProtest | @BhimArmyChief Joins Protesting Farmers, demanded withdrawal of new #FarmLaws immediately. 

Read Full Story:
https://t.co/2cMCzA7HeV"
PROVOKING,"""Kisan bhai supported us when we were protesting, now it's our turn"": Bilkis Bano
#FarmersProtest
https://t.co/ggGGewxBns"
PF_AG,"WE ARE FARMERS 🙏🏾

NOT TERRORISTS 🙏🏾

#farmerprotest #standwithfarmerschallenge https://t.co/GteBbX1kAe"
PF_AG,Sikhs are an influential global community. More and more voices will be raised. Bhakts of all hues can  shout “internal matter” for all they want. #FarmersProtest
NEUTRAL,"Everyone's a Dadi until Times Dadi arrives 🤡
#FarmersProtest https://t.co/nWgLoKg54W"
NEUTRAL,""" We are in charrdi kla bhaji. We do take bath in a nearby Mandir complex, who have opened their doors to us and the local Haryanvis are giving us veggies,milk, fruit and all other eatables daily for our langar""   said my cousin, camping near Delhi, on phone.

#FarmersProtest https://t.co/gYY3cMvs7P"
PF_AG,"Canada's Prime Minister has backed the #FarmersProtest in Delhi.
He's the first international head of state to speak in favour of Indian Farmers protesting.
Extremist Modi Supports squandering to search something to #boycottcanada
Thanks heap @JustinTrudeau to stand with TRUTH. https://t.co/cq090yc7uI"
PF_AG,"Government leaders are giving statements that they will continue Minimum Support Price (MSP). What is the problem in incorporating this in the bill?: Ajay Chautala, Jannayak Janta Party (JJP) founder on #FarmersProtest https://t.co/t0Qqd6Bb7C"
PF_AG,"If you ate today, 
it’s because of Farmers 🙏🏼🌾

#IStandWithFarmers #isupportfarmers #farmersprotest #TakeBackFarmBills https://t.co/QvM2rYj1rL"
NEUTRAL,"Farmers' Protest Update: President of Punjab Kisan Union RS Mansa to Attend Centre's Meeting at 3 PM Today; Bhim Army Chief Chandrashekar Azad Joins Protest. 
#FarmersProtest #FarmersDilliChalo #PunjabKisanUnion 
@BhimArmyChief 

https://t.co/dJ9plAFlmf"
PG_AF,"Surely, after a year or two Bollywood guys gonna make a Movie on this whole scene...and make money....

But now they wont speak fucking word from their laahnti bootha!!

Paise de poojari saale!!!

#FarmersProtest
#TakeBackFarmBills"
NEUTRAL,"Just in | Agriculture Minister Narendra Singh Tomar, Food, Commerce and Railways Minister Piyush Goyal and Minister of State for Commerce Som Prakash are holding dialogue with #farmers representatives at Vigyan Bhavan.
- @prisjebaraj reports.  

#FarmersProtest https://t.co/6wasfsFZpX"
PF_AG,"Labour Party in Canada is supported by Khalistanis

After the statement of Justin Trudeau,

Does anyone doubt that #FarmerProtest is backed by Khalistanis? 🤔 https://t.co/bwcWdn4MzP"
NEUTRAL,"Even as scores of farmers owing allegiance to the Bharatiya Kisan Union continued to protest at the #SinghuBorder entry point on the Delhi-Ghaziabad route, #BhimArmy chief #ChandrashekharAzad visited them on Tuesday to extend his party's support to the cause.

#FarmerProtest https://t.co/tP1vjN1Hb8"
NEUTRAL,"AAP MLA and @AAPPunjab Prabhari @JarnailSinghAAP arrested for protesting at connaught Place against the three Anti - Farm Laws.

#FarmersProtest 
#isupportfarmersprotest https://t.co/qyJHEb3TaX"
PF_AG,"""Kisan bhai supported us when we were protesting, now it's our turn""
; Dadi Bilkis Bano on her way to Singhu Border to join  #FarmersProtest
https://t.co/ytlzSLUbEo"
NEUTRAL,"@RajatSharmaLive Community Gathered in support of #FarmersProtest across Canada and Australia 
#FarmersBill https://t.co/XwHwnYs38x"
PF_AG,"82 year old Bilkis Bano from #ShaheenBagh was standing in solidarity with farmers before she was escorted out by Delhi Police. 

#FarmersProtest https://t.co/AWcOSfHTQY"
PF_AG,I see more tweets about ehne support ni kitta ohne support ni kitta boycott this celeb boycott that celeb.. instead of wasting time on this.. just stand for the farmers.. ehna di jitt hi ohna loka di haar hoyugi.. 🙏 #FarmersBill #FarmerProtest #HailHailFarmers
NEUTRAL,Happening now: #ShaheenBagh Dadi Bilkis Bano came to the #FarmersProtest site to register her support to farmers. But is being escorted out of here by @DelhiPolice https://t.co/PGtz3Vwyk3
PF_AG,"“Here to support farmers the way they supported us.” 

#ShaheenBagh Bilkis Bano Dadi has come to the #FarmersProtest to register her support. 

“मैं भी किसान की बेटी और माँ हूँ” she told me. https://t.co/oIV4xE5sCz"
NEUTRAL,"#FarmersProtest | Food, water, medical supplies, slippers, toothbrushes and detergent - everything available at Singhu Border. Farmers have come prepared | #FarmersProtest

NDTV's Sukirti Dwivedi reports on this self sufficient, and extremely organised group of protesters https://t.co/I3MvAwOqwQ"
PROVOKING,"If you support farmers then copy this tweet and start a chain. I am putting together some hashtags that I am aware of so we can keep them in trending. 

#SpeakUpForFarmers 
#IStandWithFarmers 
#isupportfarmers 
#farmersprotest 
#Standwithfarmerschallenge 
#TakeBackFarmBills"
PF_AG,Canada PM Justin Trudeau supported #farmersprotest whereas Canadian Actor Akshay Kumar Who banged utensils during lockdown and made lots of money from Punjabi culture is sitting quite in fear to go against beloved modi ji #FarmersBill @PriaINC
PF_AG,"Support Farmers 

#IStandWithFarmersChallenge
#FarmersProtest
#FarmerProtest https://t.co/lkitJzdRZK"
PF_AG,"How calm and relaxed this man seems.  
🤷🏻‍♀️

#FarmerProtest #kisanandolan #KisanVirodhiNarendraModi https://t.co/6MasQHfv4V"
PF_AG,"Are you praying for farmers .!!

#SpeakUpForFarmers
#FarmersProtest
#TakeBackFarmBills"
PF_AG,"“Let me remind you, #Canada will always be there to defend the right of peaceful protest,”#JustinTrudeau reacts to #FarmersProtest https://t.co/pmeaJQAvZU"
NEUTRAL,"Delhi | Farmer leaders reach Vigyan Bhawan for the talks with central government

(Photos: ANI) 
#FarmLaws #FarmersProtest https://t.co/IQKwBXIMpQ"
NEUTRAL,"LIVE | Bhim Army Chief #ChandrashekharAzad has joined the #FarmersProtest at the Ghazipur-Ghaziabad (Delhi-UP) border. 

Follow for updates: https://t.co/9WCtLkHpj4"
PF_AG,"Bilkis Bano, fondly known as the Shaheen Bagh 'Dadi', is on her way to Singhu Border to join #FarmersProtest

""Kisan bhai supported us when we were protesting, now it's our turn""

#DilliChalo https://t.co/cip6Q8ayVX"
NEUTRAL,"Chandra Shekhar Azad has reached UP Gate along with dozens of his supporters to join the farmers who have assembled at the UP Gate border area of Delhi
(@AishPaliwal) 

#Delhi #FarmersProtest 
https://t.co/l3a74KznT9"
PF_AG,"We Are Farmers, We Know Our Rights We Want Justice !!

#FarmersProtest
#TakeBackFarmBills
#FarmBills2020"
NEUTRAL,MEA statement on Canadian PM's comments on #FarmerProtest https://t.co/zAPSNTllSn https://t.co/69ubRV3H7u
NEUTRAL,"#FarmersProtest | Have a dialogue with farmers, says @ikamalhaasan
#ITVideo https://t.co/IMcHAUAVKw"
PF_AG,Thanks @AJEnglish &amp; @LizPuranam for showing the agitation of Indian farmers against Modi Govt.  #FarmersProtest https://t.co/LwmCaBhUN7
PF_AG,"#FarmersProtest | ""Beyond the police barricades, the Delhi Government has set up four mobile toilets. How is that enough for all of us?""

@NidhiSuresh_ speaks to Dinesh Chadda, a protesting farmer, on how they are working in an organized way to keep the protest space clean. https://t.co/b4Ph51hiFg"
PF_AG,"The Godi Media is more eager to defame the #FarmerProtest than the Gov't or its infamous @BJP4India IT Cell..In future whenever someone teaches about blind loyalty surely the Godi Media will be placed on the top..

#FarmersAbovePolitics"
PF_AG,"To those that work in acres, not in hours - We stand with you !!

#FarmersProtest #HailHailFarmers"
PF_AG,"Thanks @JustinTrudeau for recognizing farmers protest. #standwithfarmerschallange #FarmerProtest
#isupportfarmers https://t.co/hP62t5rHjx"
PF_AG,Punjabi from all over the world stands with Farmer and r protesting in front of Indian Embassy #HailHailFarmers #SpeakUpForFarmars #FarmerProtest
PF_AG,"एन्ना वी की करता 🤔 
@JarnailSinghAAP arrested yet again, this time from Connaught Place for merely wanting to start a Human Chain in support of #Farmers 
#FarmersProtest https://t.co/eB9aLLXZr2"
PF_AG,"#HailHailFarmers
I found this on Twitter itself.. please let me know is this person fine now?
#FarmersProtest https://t.co/rll26YldXX"
PF_AG,"Thank you Much Delhi 🙏🙏🙏
#HailHailFarmers
#FarmersProtest 
@mnprtsandhu34 @DeepSan05970557 @RamnsekhonRamn https://t.co/jD36nyn7qj"
PF_AG,"True Indians who love India and have brain to see the truth . Proud of them. 

#Tractor2Twitter #Tractor2Twitr #FarmersProtest #IamWithFarmers #IStandWithFarmers #SpeakUpForFarmers #FarmersDilliChalo https://t.co/aAI1PFe3gq"
NEUTRAL,Why Rajnath Singh plans to meet with with the farmers? PM Modi should meet the assembled farmers instead of DM as there's no security concern. #FarmersProtest
NEUTRAL,"Cotton Corporation of India not giving MSP or delaying procurement to push farmers towards private players. Imagine how this will play out when private sector gets greater power through the new laws 

#farmersprotest #DilliChalo @Devinder_Sharma @aslibharat_ @kkuruganti https://t.co/ZJo2ifAa4D"
NEUTRAL,"Community Gathered in support of #FarmersProtest across Canada and Australia 
#FarmersBill https://t.co/wF9NIdCr1G"
PF_AG,"PM of #Canada               Citizen of #Canada
Speaks on                         Top Deshbhakt 
 #FarmersProtest             Still Silent 

#StandWithFarmers https://t.co/UNJnPjLwXM"
PF_AG,Some of the Indian comments  in Twitter over @JustinTrudeau's remarks on #FarmersProtest are hilarious. The same people cheer the Indian diaspora but when the diaspora prompts political comments from abroad they are shocked. And who took India's domestic issues to diaspora?
PF_AG,"Khalistan movement has claimed over 21000 lives. 

Khalistani groups have now infiltrated #FarmersProtest to re-mobilise internationally &amp; put pressure on India.

Strongly condemn @JustinTrudeau's attack on India's integrity by endorsing dangerous elements, just for a few votes! https://t.co/XMrarkJv0J"
PF_AG,"Thank you @JustinTrudeau 
#HailHailFarmers 
#farmersprotest https://t.co/uBeQbyP8uC"
PF_AG,"12 million farmers protesting right now.

This has officially become the largest protest in human history.

Waheguruuu 🧡🙏🏽✊🏽🌾

#FarmersProtest #IStandWithFarmers #KisaanMajdoorEktaZindabad #KisaanMorcha"
NEUTRAL,"Day 5 of the #FarmersProtest at the Delhi-Haryana Singhu Border. 

#OnTheGround https://t.co/SrKS1Z771W"
PF_AG,"Shame on you @narendramodi  🤡 -
No Farmers, No Food , No Future #FarmersProtest #TakeBackFarmBills #kisanprotest #FarmerProtest #SpeakUpForFarmers https://t.co/eeFM1TKeSy"
PG_AF,"Farmers are unhappy with the new agri-based laws and are holding #FarmerBills2020 Protest 2.0. Know the reason why Farmer Unions are unhappy with the new Bills.

#FarmerPolitics #FarmerProtest 

https://t.co/mXVVzC1TLm"
PF_AG,"We Feed The World : Farmers 
and We are Terrorists 
#HailHailFarmers #FarmersBill #FarmerFirst #FarmerProtest https://t.co/fzGCrwoKKt"
PF_AG,"Farmers are getting beaten up by the Police and Army men while the PM of India is busy with his own enjoyment.
#FarmersProtest #Scam2020 https://t.co/ft1p4enIKS"
PF_AG,"Shiv Sena deputy leader Priyanka Chaturvedi does not welcome Canadian Prime Minister Justin Trudeau's remarks, pointing out that the #farmersprotest is India's ""internal issue""

Read more: https://t.co/IQg57jCgTu https://t.co/T39AvACyvF"
PF_AG,"#FarmersProtest: Punjab Olympians, Arjuna, and Padma Awardees Threaten To Return Awards https://t.co/Z8rALkOheB https://t.co/RTGoIRfJh1"
PF_AG,"Godi Media Go Back !

#FarmersProtest https://t.co/oq5dhEZNOf"
PF_AG,Khalsa do not discriminate. You beat us we will feed you. #FarmersBill #FarmerProtest #HailHailFarmers https://t.co/ngXMq180qH
PF_AG,"Seeing both RW and liberals take outrage at Justin Trudeau's support for #farmersprotest. 

Institutions here have failed to protect those at the receiving end of govt's measures. So naturally they would lobby outside. Nothing wrong in it. Hope govt is now forced to mediate."
NEUTRAL,"""We are very concerned...We've reached out to Indian authorities"": Canadian PM #JustinTrudeau is the first international head of government to come out in support of #farmersprotest.
https://t.co/0WeLCzV6Gl"
NEUTRAL,"Haryana’s Tau expresses his happiness at resignation of Sombir Sangwan. Sombir resigned from position of chairman from Haryana's Pashudhan Board in support of farmer protests. 

The news that Farm unions are not meeting centre is also false. The meeting is ON! #FarmersProtest https://t.co/iDKeY5L7Kd"
PF_AG,"We are with farmers💜

#FarmerProtest  #Standwithfarmerschallenge"
NEUTRAL,"I will attend the meeting called by the government at 3 pm today: RS Mansa, State President, Punjab Kisan Union
#FarmerProtest https://t.co/O39DVzu20u"
NEUTRAL,"Ground Report: Govt calls a meeting with 32 farmer unions today. Listen in to what a farmer leader Sukhwinder Singh tells me:

“If meeting is called to talk about the benefits of #FarmerBills , it’ll be futile. Meeting’s agenda should be about rolling them back.” #FarmersProtest https://t.co/nIiJyrKCJw"
PF_AG,"Farmer chilling in his Suite Room. See Stars in the Sky ~ 
#HailHailFarmers #FarmerFirst #FarmersProtest https://t.co/OuE8pHdLnO"
PF_AG,"Must listen 🙏

@GurpreetGhuggi 

#FarmerProtest 
#FarmersProtest 
#standwithfarmerschallenge https://t.co/VphnKHter1"
PF_AG,"Finally PM speaks for farmers. Not ours, @akshaykumar’s

#HailHailFarmers
#FarmersProtest 
@mnprtsandhu34 @DeepSan05970557 @RamnsekhonRamn @UdtaHathi https://t.co/HEjM8vVrI7"
PF_AG,Farmers protesting for their rights are also local. When will you be vocal for them? #FarmersProtest https://t.co/XP6MmbyyGr
NEUTRAL,Move over @tomorrowland here is India’s very own Prime organiser of a Cult Festival. Sound On 📣 while #FarmerProtest on! https://t.co/08ZrVVb75Z
PF_AG,"WE ARE FARMERS 🙏🏾

NOT TERRORISTS 🙏🏾

#farmerprotest #standwithfarmerschallenge https://t.co/nvPbt37jZE"
PF_AG,"A farmer explaining their demand about MSP.
Godi media and right wing IT cells are trying portray that farmers are uneducated and misled by opposition.

#Tractor2Twitter
#FarmersProtest
#StandWithFarmersChallenge https://t.co/OcwUJvhU9B"
PF_AG,"Farmers are getting enormous support from all across the globe.
This time New Zealanders stole the show.

#Tractor2Twitter
#FarmersProtest
#StandWithFarmersChallenge https://t.co/ST7KeV2jzB"
PF_AG,Glad to see the influencers using their social media to aware people about hardships farmers are facing in Delhi🙏🙏🙏🙏 #FarmersProtest #IStandWithFarmers https://t.co/4PU2g0RvRf
NEUTRAL,"‘Canada Will Defend Right to Protest’: PM @JustinTrudeau Backs Indian Farmers
He spoke on #Gurpurab where he mentioned protests by farmers in India against @narendramodi govt's new farm laws.

#FarmerProtest
@PMOIndia @HCI_Ottawa @CanadianPM @CanadainIndia @Ajaybis @nadirypatel https://t.co/MGT20YwKjM"
PF_AG,"The farmers were feeding the hands that beat them
The police were biting the hands that fed them.
It was a noble, moral moment. All those langars through local gurdwaras were organised by and for farmers groups
#FarmersProtest #FarmBills"
